Date,Open,High,Low,Close,Volume,Adj Close
2013-07-09,105.27,105.75,104.46,104.68,3991800,104.21
2013-07-08,104.00,105.10,103.44,104.37,4222700,103.90
2013-07-05,103.70,104.20,102.75,104.20,3671700,103.73
2013-07-03,101.01,103.04,100.78,102.89,2891700,102.42
2013-07-02,103.22,103.25,100.82,101.47,4147000,101.01
2013-07-01,102.93,104.02,102.93,103.24,4091200,102.77
2013-06-28,102.86,103.49,102.32,102.44,5432500,101.98
2013-06-27,102.41,103.52,102.01,103.15,6577700,102.68
2013-06-26,99.65,101.39,99.57,100.75,5267300,100.29
2013-06-25,99.20,99.66,98.18,98.67,3557900,98.22
2013-06-24,99.06,99.46,96.31,97.85,5585200,97.41
2013-06-21,100.08,100.14,97.42,99.98,10328800,99.53
2013-06-20,101.46,101.86,99.38,99.64,7114800,99.19
2013-06-19,103.83,104.15,102.24,102.25,4186900,101.79
2013-06-18,103.22,104.15,102.65,104.08,4035700,103.61
2013-06-17,102.69,103.52,102.52,103.03,4217400,102.56
2013-06-14,102.16,103.22,101.50,101.83,3944400,101.37
2013-06-13,100.96,102.34,100.85,102.16,4076500,101.70
2013-06-12,102.19,102.42,100.61,100.88,2936500,100.42
2013-06-11,101.61,102.78,100.90,101.75,3144100,101.29
2013-06-10,102.51,102.95,101.51,102.24,4047500,101.78
2013-06-07,100.25,102.59,100.06,102.49,5732900,102.03
2013-06-06,98.65,99.81,98.42,99.76,4131700,99.31
2013-06-05,99.34,99.71,98.05,98.49,5151000,98.04
2013-06-04,100.48,100.92,99.08,99.61,3769800,99.16
2013-06-03,99.36,100.90,99.30,100.74,6472900,100.28
2013-05-31,100.21,100.95,99.02,99.02,4218700,98.57
2013-05-30,99.29,100.99,99.06,100.54,4784400,100.08
2013-05-29,99.56,100.03,98.90,99.09,4405800,98.64
2013-05-28,100.85,101.47,100.11,100.11,5736000,99.66
2013-05-24,99.75,100.58,98.85,100.00,6746300,99.55
2013-05-23,97.18,99.99,97.06,99.75,6975700,99.30
2013-05-22,98.86,99.48,97.86,97.93,8399700,97.49
2013-05-21,98.59,99.05,97.90,98.75,4415400,98.30
2013-05-20,99.12,99.33,98.52,98.72,6535200,98.27
2013-05-17,97.02,99.04,97.00,98.92,7408900,98.47
2013-05-16,96.89,97.20,96.30,96.58,5036700,96.14
2013-05-15,95.69,97.47,95.60,97.02,4875100,96.58
2013-05-14,94.92,96.19,94.70,96.11,4646500,95.67
2013-05-13,94.12,95.16,94.10,94.76,3492000,94.33
2013-05-10,94.75,94.99,93.82,94.24,3918600,93.81
2013-05-09,94.07,95.15,94.04,94.61,3677500,94.18
2013-05-08,94.31,94.44,93.77,94.04,3204300,93.61
2013-05-07,94.31,95.04,94.06,94.79,3858400,93.88
2013-05-06,93.44,94.79,93.36,94.19,5504800,93.28
2013-05-03,92.85,93.95,92.67,93.74,4700100,92.84
2013-05-02,91.24,92.82,91.20,92.21,4514800,91.32
2013-05-01,91.08,91.75,90.72,91.18,4567300,90.30
2013-04-30,91.35,91.99,90.82,91.41,4714300,90.53
2013-04-29,91.40,92.41,91.19,91.90,6265900,91.02
2013-04-26,91.89,93.38,91.67,92.85,5910600,91.96
2013-04-25,91.35,92.62,90.07,91.67,5766100,90.79
2013-04-24,91.95,92.65,90.42,90.83,9231700,89.96
2013-04-23,87.35,88.51,87.20,88.18,3130700,87.33
2013-04-22,88.08,88.08,86.44,86.94,4248700,86.10
2013-04-19,87.57,88.08,86.57,87.96,6322200,87.11
2013-04-18,87.06,87.16,85.75,86.12,2792800,85.29
2013-04-17,86.47,87.00,85.78,86.69,3781100,85.86
2013-04-16,87.45,88.35,86.43,86.89,5233900,86.05
2013-04-15,88.44,88.77,86.77,86.77,4324000,85.93
2013-04-12,88.29,88.93,88.00,88.89,2588300,88.03
2013-04-11,87.96,89.46,87.84,88.53,5394200,87.68
2013-04-10,87.34,88.56,87.06,87.82,4635200,86.97
2013-04-09,87.12,87.49,86.19,87.21,6058400,86.37
2013-04-08,86.04,86.81,85.38,86.75,5003600,85.92
2013-04-05,84.07,86.30,83.91,86.17,6109500,85.34
2013-04-04,84.79,85.02,84.21,84.95,3352500,84.13
2013-04-03,84.30,85.35,84.07,84.36,3885000,83.55
2013-04-02,85.39,85.50,83.80,84.09,4764900,83.28
2013-04-01,85.60,86.19,85.03,85.25,2867200,84.43
2013-03-28,86.41,86.50,85.42,85.85,4884300,85.02
2013-03-27,85.75,86.42,85.05,86.20,3185700,85.37
2013-03-26,85.43,86.84,85.41,86.62,5083400,85.79
2013-03-25,85.03,85.48,84.34,84.85,3528400,84.03
2013-03-22,84.52,85.10,84.52,84.82,2841600,84.00
2013-03-21,85.20,85.83,84.18,84.33,3672400,83.52
2013-03-20,85.85,86.14,85.18,85.37,3783500,84.55
2013-03-19,85.53,86.00,85.24,85.51,5381200,84.69
2013-03-18,85.07,85.77,85.04,85.18,4803900,84.36
2013-03-15,84.75,86.49,84.50,86.43,8205400,85.60
2013-03-14,84.62,85.10,84.13,84.62,5027800,83.81
2013-03-13,84.38,84.85,83.52,84.75,7750900,83.93
2013-03-12,83.10,84.62,83.00,84.16,6600800,83.35
2013-03-11,81.01,83.03,80.96,82.94,5087300,82.14
2013-03-08,81.16,81.70,80.72,81.23,5231700,80.45
2013-03-07,79.37,81.95,79.37,81.05,10029900,80.27
2013-03-06,78.67,79.28,78.49,79.08,3826100,78.32
2013-03-05,77.45,78.85,77.11,78.66,5693200,77.90
2013-03-04,76.95,77.40,76.17,77.09,4748600,76.35
2013-03-01,76.70,77.59,76.58,77.28,6024200,76.54
2013-02-28,77.24,77.73,76.40,76.90,5593400,76.16
2013-02-27,75.53,77.93,75.53,77.36,7160000,76.62
2013-02-26,75.43,75.91,75.14,75.65,3436700,74.92
2013-02-25,76.83,76.90,75.03,75.03,4936300,74.31
2013-02-22,76.70,77.03,76.48,76.66,5391200,75.92
2013-02-21,74.96,76.18,74.91,76.01,7438600,75.28
2013-02-20,75.64,76.25,74.75,74.78,7551300,74.06
2013-02-19,74.99,75.19,74.27,74.65,3882500,73.93
2013-02-15,75.26,75.26,74.72,75.03,3650700,74.31
2013-02-14,74.69,75.31,74.54,74.93,3830400,74.21
