Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,33.92,34.03,33.80,34.03,314100,34.03
2013-07-11,33.66,33.86,33.51,33.79,122800,33.79
2013-07-10,33.43,33.65,33.34,33.46,88200,33.46
2013-07-09,33.46,33.55,33.32,33.40,155700,33.40
2013-07-08,33.23,33.40,33.20,33.23,204500,33.23
2013-07-05,33.68,33.68,33.33,33.60,109800,33.60
2013-07-03,33.23,33.38,32.86,33.29,198000,33.29
2013-07-02,33.72,34.14,33.52,33.63,450500,33.63
2013-07-01,32.74,33.00,32.65,32.72,448000,32.72
2013-06-28,32.61,33.21,32.57,32.87,431100,32.87
2013-06-27,33.16,33.21,32.90,32.96,614000,32.96
2013-06-26,33.00,33.05,32.81,33.00,297000,33.00
2013-06-25,33.10,33.23,32.92,33.16,286900,33.16
2013-06-24,32.94,33.22,32.64,33.01,363100,33.01
2013-06-21,33.44,33.56,32.86,33.49,857800,33.49
2013-06-20,32.80,32.82,32.10,32.37,788500,32.37
2013-06-19,34.04,34.08,33.36,33.40,628700,33.40
2013-06-18,33.68,33.70,33.41,33.56,418400,33.56
2013-06-17,33.23,33.54,32.97,33.18,367900,33.18
2013-06-14,33.06,33.17,32.61,32.68,263000,32.68
2013-06-13,33.61,34.02,33.31,33.94,614800,33.94
2013-06-12,33.37,33.46,32.80,32.99,620600,32.99
2013-06-11,32.36,32.58,32.09,32.33,707900,32.33
2013-06-10,33.70,33.73,33.12,33.16,529900,33.16
2013-06-07,33.02,33.64,32.73,33.48,408500,33.48
2013-06-06,32.92,33.05,32.39,32.94,561900,32.94
2013-06-05,33.32,33.51,33.01,33.10,392300,33.10
2013-06-04,34.56,34.82,34.23,34.38,446900,34.38
2013-06-03,33.66,33.76,32.70,33.48,1051500,33.48
2013-05-31,34.61,34.71,34.22,34.28,1114000,34.28
2013-05-30,35.74,36.41,35.74,35.90,1038900,35.90
2013-05-29,35.47,35.62,35.13,35.54,467500,35.54
2013-05-28,36.55,36.84,36.27,36.46,358100,36.46
2013-05-24,36.13,36.40,35.91,36.21,409700,36.21
2013-05-23,36.49,37.25,35.85,37.24,597100,37.24
2013-05-22,38.05,38.55,37.69,37.76,560200,37.76
2013-05-21,37.03,37.29,36.96,37.14,334400,37.14
2013-05-20,37.11,37.11,36.89,37.04,192000,37.04
2013-05-17,37.00,37.14,36.86,37.10,454400,37.10
2013-05-16,36.92,36.98,36.64,36.69,262100,36.69
2013-05-15,36.58,36.75,36.56,36.71,263900,36.71
2013-05-14,36.01,36.44,36.01,36.31,499500,36.31
2013-05-13,35.76,35.87,35.61,35.78,280100,35.78
2013-05-10,35.21,35.41,35.12,35.34,667900,35.34
2013-05-09,35.30,35.58,35.17,35.42,586700,35.42
2013-05-08,35.51,35.89,35.45,35.82,526400,35.82
2013-05-07,35.26,35.48,35.26,35.43,260200,35.43
2013-05-06,35.79,35.96,35.71,35.75,338600,35.75
2013-05-03,35.68,35.87,35.63,35.78,305000,35.78
2013-05-02,35.53,35.59,35.23,35.43,659800,35.43
2013-05-01,35.48,35.48,35.09,35.13,1509000,35.13
2013-04-30,35.87,36.09,35.73,36.01,1495300,36.01
2013-04-29,36.29,36.62,36.28,36.50,335900,36.50
2013-04-26,36.20,36.44,36.16,36.27,325000,36.27
2013-04-25,36.22,36.64,36.13,36.43,570200,36.43
2013-04-24,38.30,38.35,36.29,36.89,1338100,36.89
2013-04-23,38.48,38.89,38.42,38.86,522700,38.86
2013-04-22,38.00,38.28,37.80,38.13,247900,38.13
2013-04-19,37.78,38.01,37.61,37.95,567400,37.95
2013-04-18,37.73,37.82,37.36,37.53,500300,37.53
2013-04-17,37.28,38.40,37.10,38.07,1095600,38.07
2013-04-16,37.22,37.30,36.99,37.25,310200,37.25
2013-04-15,37.30,37.44,36.95,37.02,657700,37.02
2013-04-12,37.08,37.10,36.67,36.86,283000,36.86
2013-04-11,37.12,37.60,36.90,37.48,804600,37.48
2013-04-10,35.99,36.54,35.99,36.24,635700,36.24
2013-04-09,35.28,35.53,35.01,35.41,790800,35.41
2013-04-08,34.68,35.21,34.59,35.09,750000,35.09
2013-04-05,34.05,34.75,34.04,34.66,733000,34.66
2013-04-04,34.67,35.43,34.25,35.27,1351100,35.27
2013-04-03,35.06,35.09,34.57,34.64,621500,34.64
2013-04-02,35.13,35.19,34.99,35.09,534700,35.09
2013-04-01,35.98,35.99,35.44,35.62,344000,35.62
2013-03-28,36.70,36.75,36.52,36.69,229100,36.69
2013-03-27,37.00,37.26,36.85,37.19,244500,37.19
